,Avg[1],SD[1],Min[1],Max[1],Avg[2],SD[2],Min[2],Max[2],Avg[3],SD[3],Min[3],Max[3],Avg[4],SD[4],Min[4],Max[4]
GDP growth,0.00483551349821406,0.000166751799598631,0.00454835463899893,0.00510953082635702,0.000209484896393771,0.000103343754730655,-3.46207604524996e-06,0.000356531186296333,-0.000618386115181025,0.000690607686816388,-0.00240666474536785,0.000289521209267877,0.0203650221634894,0.000226333783062178,0.0200332127475291,0.0208238984857839
Volatility of GDP growth,0.00815802965223037,0.000523053593099183,0.00716272499837578,0.00900444773702379,0.00800288440987586,0.000352737069592597,0.00750179331134282,0.00864921016228999,0.0183386457290253,0.00386770091041916,0.0132574946010188,0.0242408082659743,0.00960376152809076,0.00281386871067681,0.00665332928899572,0.015684307807719
Volatility of GDP,19.679385204793,0.450795845678968,18.9639511349125,20.1683566465426,1.12957133613437,0.200335152785593,0.902189787548264,1.56421795062753,9.88362003322799,2.88173556824186,6.11034065531507,15.3549405490417,363.691034129251,10.8098342147379,350.642148539174,379.868876085559
Inflation,0.007905716714154,0.00028576609738048,0.0076265386087975,0.008526984123165,0.0068157662140839,0.000361602291322058,0.0061220124895975,0.0072566730037425,0.0179043436337492,0.000888912249143889,0.0167304005201475,0.01997040900063,0.0188052638214373,0.000498641866730866,0.017839002384375,0.019412545288475
Consumption growth,0.00117588828177384,5.385295359195e-05,0.00107959746059472,0.00126472139560455,2.08770819107405e-05,4.60862224575522e-05,-4.4667075618125e-05,8.8727243274875e-05,-0.000178993761790618,0.000142897973419491,-0.000526562185794508,7.96705483652502e-06,0.00495874405769806,5.59865380856139e-05,0.00488704017604164,0.00504881793856723
Investment growth,0.0252586847023178,0.00270436983991351,0.0206914100722215,0.0291283172009147,0.094818955540412,0.0854704907401517,0.0362668167358733,0.314570931963746,0.00754493431153933,0.0029559705323131,-3.80232506722497e-05,0.010323195654791,0.00849406248412799,0.000758155511673736,0.00747985462647425,0.0098435744974435
Volatility of Investment,1.18108061516786,0.0953937123115559,0.997669488949623,1.33599768994184,0.376925341508273,0.047457352369747,0.326650252892212,0.480985308915298,1.98254769624253,0.422726059461703,1.43596574742763,2.68965820773652,24.1749980096182,1.05044663569221,22.7464760973721,25.7828697560224
Unemployment,0.235466956084025,0.00841310452585457,0.2234952358205,0.24742881941375,0.291819194151675,0.00773605242683856,0.28135818411775,0.30268688818925,0.156052444451175,0.0161213618417271,0.137095989054925,0.186284598173,0.065642093928635,0.00638432382672729,0.055771111270975,0.074750877265025
Volatility of Unemployment,0.0217353532546838,0.0046861232602414,0.0153494564148991,0.0280028804199847,0.0190249692133215,0.0026348426163234,0.0143919452642004,0.0223230101897465,0.051306816521818,0.00897909472417412,0.0400955126498484,0.0681125456292098,0.0287336818615971,0.00557829447081346,0.0212196839598472,0.0380757965891113
Productivity Growth,0.000613638312008575,8.23928506459833e-06,0.000598997843798672,0.000628762098351614,0.000274065921413181,2.97777034504824e-05,0.000215717475805297,0.000317381598279698,0.00505645147887872,3.11028897028388e-05,0.00501697524713799,0.00510930607864125,0.00507615043114559,1.41247684235312e-05,0.00505275144397825,0.00509157753177788
Volatility of Productivity Growth,0.00115448449759716,0.000115816859364938,0.00100640830151239,0.00135946729216798,0.00112300750194458,0.000199809351130741,0.000888324640293427,0.00150455275032075,0.00368252783828147,0.000460260200952946,0.00282736402129773,0.00468140440028849,0.00190780087542074,0.000259272035419406,0.00155485817784856,0.00230825280091103
Markup Growth,8.27772735061959e-05,3.81301839159048e-06,7.59212404055177e-05,8.70605268459575e-05,7.0958820540585e-05,4.19416237359227e-06,6.37644062255325e-05,7.6118827759475e-05,0.0002144710238358,1.65119695682319e-05,0.000188298967130925,0.00024003384138075,0.000215350497827825,9.50859323692825e-06,0.000194270364879,0.0002331553346643
Volatility of Markup Growth,0.00178441342256127,9.93626089068307e-05,0.00161380902512548,0.00189286298946462,0.00162282462523241,0.000320031862058693,0.00123645097816469,0.00224706766430038,0.00611775209890069,0.00119347669715838,0.00488806615294601,0.00826551429921666,0.00527254849585269,0.000447816798285359,0.00452992696532947,0.00598169881687736
Profit Rate,0.1281763711604,0.00163428954997959,0.12589212743375,0.131208843019,0.1176276493,0.00107905671373525,0.115690773772,0.11902050377925,0.147857679223125,0.00428074808444075,0.14069289461425,0.15547428676325,0.1675600447978,0.00204571788481479,0.163883676213,0.17160419764425
Capacity Utilization,0.79676904457995,0.00793747897509508,0.78482743227075,0.80903194587325,0.737637600492475,0.00797886843223269,0.724680388179,0.75036630732725,0.87908805202255,0.0189877648084823,0.82947252604925,0.8956425676615,0.9519895892518,0.00398786337971235,0.9473992067655,0.957218865084
