,Baseline[1],Ratio[2],p-val[2],Ratio[3],p-val[3],Ratio[4],p-val[4]
GDP growth,0.00483551349821406,0.0433221614356246,1.07334991127421e-20,-0.127884270286789,3.2054775227358e-10,4.21155316203975,1.11760674064625e-27
Volatility of GDP growth,0.00815802965223037,0.98098251061001,0.448859280991855,2.24792584861611,1.73179200263305e-05,1.17721581527534,0.144646005676169
Volatility of GDP,19.679385204793,0.0573987105989094,8.38825774943217e-20,0.502232154631578,2.16367268732088e-06,18.4808128071334,4.82946131869748e-15
Inflation,0.007905716714154,0.86213134881007,9.02643643180107e-07,2.26473377191648,1.19279241178184e-11,2.37869183799228,2.76469872554207e-18
Consumption growth,0.00117588828177384,0.0177543073048123,4.09114679741237e-20,-0.152220040428164,1.38049447332868e-11,4.2170197071934,3.54191551312672e-28
Investment growth,0.0252586847023178,3.75391500618048,0.0300723081329351,0.298706539966706,9.39798126875252e-11,0.336282850205124,3.77575523369601e-09
Volatility of Investment,1.18108061516786,0.319135998565773,4.04008662690542e-12,1.67858795647134,0.000244229124079018,20.4685418583238,1.43684413239568e-13
Unemployment,0.235466956084025,1.23932121519225,1.67304589938463e-11,0.662736067287032,3.80993829529694e-09,0.278774121941811,4.02937934838492e-19
Volatility of Unemployment,0.0217353532546838,0.875300667552838,0.133192325431348,2.36052370166847,4.50558138170882e-07,1.32197905987128,0.00743248520591008
Productivity Growth,0.000613638312008575,0.446624527917922,9.2143899065676e-12,8.24011698736317,9.76552292824079e-23,8.27221888172239,1.73752134139015e-34
Volatility of Productivity Growth,0.00115448449759716,0.972735020939565,0.673030266921841,3.18975945189904,1.14194629762367e-08,1.65251320341803,2.30465180417288e-06
Markup Growth,8.27772735061959e-05,0.857225872935688,4.56090321925087e-06,2.59094090384297,1.46629802232821e-09,2.60156548659103,2.25452880734653e-13
Volatility of Markup Growth,0.00178441342256127,0.909444305178493,0.1582723132074,3.42843873597382,1.15377089676691e-06,2.9547796655131,1.77792591310363e-09
Profit Rate,0.1281763711604,0.917701509530182,3.18610654888181e-11,1.15354864461014,3.22433767439602e-08,1.30726157466352,1.58168679760619e-19
Capacity Utilization,0.79676904457995,0.925785967100857,6.05072965130883e-12,1.1033160211263,2.68352056948079e-08,1.19481246884244,8.22168272549678e-17
